gerogeroR,IiyamaAkari,mjauemi,nippon_ukuraina,OKB1917,nvkePqkpk5P3Y50,Gurenko_Andrii,MichitoTsuruoka,Sz73B,ozawa_jimusho,jda1BekUDve1ccx,kamipapa_ro,FIFI_Egypt,KunisueNorito,yoniumuhibi,KanAugust,matsudaHI,KadotaRyusho,tezheya,rockfish31,iiduna_yutaka,Narodovlastiye,toshio_tamogami,naoyafujiwara,ichiroaisawa,kazzshi69,airi_deshi_555,rusbureau,mooncave3,soraplaza
977979025,1251281006847356937,1478334026301992961,1381865331874881545,2660979060,1396316501754318849,1158281005490249728,1541021209009467392,1362917787342004224,1154923934497665025,2281518204,1048565732278030336,1440711388658167831,1537036435089661952,1456118000063418370,1540133647055204352,1388883765385056257,1536847425574694912,843501822,1069816203131023360,1527612790587854848,1081758018746802176,1514779443247861764,1541310583760248832,709704393919041536,1032426946376871942,1345216786577281024,1498927755911598080,1508786997174759426,1415166164922077188
1521229455775043584,1541372719618752513,119284261,814790616,1112689613972213760,377423530,1539618193396084736,170679445,1184073347253981190,1173582447918768134,1105500459870040064,888178490012344321,1541540966028283905,1540585286480306176,1060864699275763712,703628923729371136,1470777316519383051,167419065,1471767394133901316,1189944267713597441,1167872651139747841,1154923934497665025,1267088232413401088,1496788400669868035,4849496840,1078494079,920589421992226816,1519687142850527233,158389027,1540631317410643968
1540270927220703235,1538021763082522624,407745819,274814667,1507592305532076036,1534042466961211392,1541272261378048001,2400883651,15287132,1508951144080752641,767357282044616705,99609220,1326355529090834435,1497481732895174659,1020575417445433344,1539810897983483904,1532635492390412289,2246193865,1353166188704981085,167853471,1428146029312942082,133930050,923554609511014402,1488837640359014400,1194944779756261379,1522428407669161986,1095560650762289152,1187761399449042945,1350440267992625153,2906041723
3174728066,1517711572537610240,1494688386145161223,1527343062,113864797,1269491431602704385,1132124697485643776,1259874812123443203,1384321645154693122,917173466,3019145910,2752685144,105951247,1264930625472966657,4688994145,1285208332207140865,1200095365703163905,1495183165111304192,1307940880171413505,2594396234,281514506,707095121196527616,1541483941881794560,1493564484967084034,1353094455817986048,2935049054,1192932238620426240,1446714976052285446,2458016192,1539754154390097920
1541346345726128130,1127315001692250112,1469166466952208384,1441313147147599880,1539355720176439296,922748299756519425,1264377147306606592,1485262130144157697,1058299168626630656,1428692012350394375,1540628286241329152,121360436,1088391887956828161,367130836,138593560,915283092968845313,1539231197884301317,269478414,2992750004,198898653,534997135,1428692012350394375,134472958,1518970442903556102,182006253,396445574,988227019048603648,304497999,1254974206783049728,1138689832375312384
1408034877081939969,796038156030070784,1476754854676959233,1522616730262024192,1337091159248683008,108912050,1540291334019219457,3075829020,2942453018,155235425,170927355,828433738463719424,976316485105668096,1152218469120659457,298527039,859134973,1531216132413308928,1446071173696016396,1460585998501707776,1533407066299445248,1216541640153681920,155235425,1384154000069586944,1092673222951165952,1239625187219341314,3328000471,253035899,2585874121,1526296231353679872,1503276299720134661
2819754992,1497157914150436867,1081889754,1539136543193190400,1421671439636201472,195253557,1536147480512827392,1210394352934981634,1429992291297419264,152830177,1049998905717313537,976436734350172161,1492088998956699655,3263115014,1413726038316621825,920930720243007489,1319717198286540803,943933249583177729,1488175075589517317,449576442,1505915857117270017,145905815,1526567991588323328,124345725,1697275278,134335506,902687162537086976,1169459993780731905,1138728371985084416,1515932979130155010
1332565115544113152,1467423000824004612,1310372601424797697,1353260805978869760,1541301073977425922,1406434508501520388,1430161687009759235,1274441652942196736,117091655,1538632688730796032,478713622,1541112415160455168,3018395698,1394441957213020163,112461006,1019631844692672512,1287842907689488391,1262271780258869248,1511320851756761091,2819754992,721471579113164800,1538632688730796032,1194557845,1465353187339440128,328476787,721704867543134208,147446740,100733653,1472519904939372549,1523981203027595264
311918070,1237985796142952448,59035132,2940328645,1541298683681026048,1339169655340986368,1541311017606557696,1520562491943575553,832435892711149568,1535489222877929473,2571719305,1398851290302615552,1157572851957768192,1395506587440074755,1186100623617323008,963692836582338560,1481158133301092354,560306925,1047100658829017093,1362563632828088324,1032954271975669760,1535489222877929473,1537506707810955264,1525397075197775872,1395003408394817541,45148399,2801664079,1008706170419273728,3282677964,1035534510496968706
1430907045729820685,1505876189743030272,1281856512093122560,1541219635852619776,1514969665784623112,1430084570892750859,1292676450034671617,1483989944569794560,1259977449246306305,1295858048984952834,390066205,123164647,1462420965728550918,1511661172332048387,1334091381384519680,1479988846838554629,211442222,4885642000,1540834048930885632,1541338991504523269,1239438661059371008,1502947344769515521,1521177327517929472,1518237940010594304,1491360662630834176,3250637310,1110882730177224710,23342797,1124563445435600897,1453717727768551433
